result_id|evidence|lower_ug_l|upper_ug_l|hardness_state|hardness_mg_l|screen
STORET-949426233|below_mdl|0|0.07|available|93|below_or_equal
STORET-949438126|between_mdl_rl|0.07|0.6|available|68|crosses
STORET-949441650|point|0.27|0.27|available|95|above
STORET-949447549|between_mdl_rl|0.07|0.2|available|84|below_or_equal
STORET-949450675|between_mdl_rl|0.07|1|available|78|crosses
STORET-949456371|point|0.24|0.24|available|100|below_or_equal
STORET-949458214|between_mdl_rl|0.07|0.2|available|93|below_or_equal
STORET-949466241|unresolved_u_limit|NA|NA|available|110|unresolved_limit
STORET-949467276|between_mdl_rl|0.07|0.6|available|96|crosses
STORET-949487374|unresolved_u_limit|NA|NA|available|89|unresolved_limit
STORET-949490221|unresolved_u_limit|NA|NA|available|120|unresolved_limit
STORET-949492273|unresolved_u_limit|NA|NA|available|61|unresolved_limit
STORET-949494246|unresolved_u_limit|NA|NA|available|37|unresolved_limit
STORET-953688245|unresolved_u_limit|NA|NA|available|84|unresolved_limit
STORET-953718082|unresolved_u_limit|NA|NA|available|80|unresolved_limit
STORET-953730989|unresolved_u_limit|NA|NA|available|96|unresolved_limit
STORET-953731590|unresolved_u_limit|NA|NA|available|100|unresolved_limit
STORET-953736091|unresolved_u_limit|NA|NA|available|110|unresolved_limit
STORET-953740986|unresolved_u_limit|NA|NA|available|43|unresolved_limit
STORET-953887787|unresolved_u_limit|NA|NA|available|110|unresolved_limit
STORET-953889569|unresolved_u_limit|NA|NA|available|51|unresolved_limit
STORET-953895686|unresolved_u_limit|NA|NA|available|120|unresolved_limit
STORET-953929875|unresolved_u_limit|NA|NA|available|83|unresolved_limit
STORET-953931789|unresolved_u_limit|NA|NA|available|90|unresolved_limit
