drug1,drug2,classes,source_line,mechanism,source_file_id
D00326,D00785,CI,36,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0049
D00326,D00801,P,37,unclassified,d0049
D00326,D00809,P,38,Enzyme: CYP2D6 / Target: SLC6A4 / CYP inhibition: CYP2C19 CYP2D6,d0049
D00326,D00811,P,39,Enzyme: CYP2D6 / Target: SLC6A4 / CYP inhibition: CYP2C19 CYP2D6,d0049
D00326,D00815,P,40,Enzyme: CYP2D6 / Target: SLC6A4 / CYP inhibition: CYP2C19 CYP2D6,d0049
D00326,D00818,P,41,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0049
D00326,D00820,P,42,Enzyme: CYP2D6 / Target: SLC6A4 / CYP inhibition: CYP2D6,d0049
D00326,D00821,P,43,Enzyme: CYP2D6 / Target: SLC6A4 / CYP inhibition: CYP2D6,d0049
D00326,D00824,P,44,Enzyme: CYP2D6 / Target: SLC6A4 / CYP inhibition: CYP2D6,d0049
D00326,D00848,P,45,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0049
D00326,D00904,P,46,Enzyme: CYP2C9,d0049
D00326,D00947,P,47,unclassified,d0049
D00326,D00966,P,48,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0049
D00326,D00969,P,49,Enzyme: CYP2C9,d0049
D00326,D01028,P,50,CYP inhibition: CYP2D6,d0049
D00326,D01061,P,51,unclassified,d0049
D00326,D01164,P,52,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0049
D00326,D01179,P,53,Target: SLC6A4 / CYP inhibition: CYP2D6,d0049
D00326,D01213,P,54,Transporter inhibition: ABCB1,d0049
D00326,D01253,P,55,CYP inhibition: CYP2C19,d0049
D00326,D01280,P,56,Enzyme: CYP2C9,d0049
D00326,D01296,P,57,unclassified,d0049
D00326,D01355,P,58,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0049
D00326,D01383,P,59,unclassified,d0049
D00326,D01399,P,60,unclassified,d0049
D00326,D01896,P,61,CYP inhibition: CYP2C19,d0049
D00326,D01898,P,62,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0049
D00326,D01973,P,63,unclassified,d0049
D00326,D01992,P,64,unclassified,d0049
D00326,D02008,CI,65,unclassified,d0049
D00326,D02102,P,66,Enzyme: CYP2C9 CYP2D6 / CYP inhibition: CYP2C19 CYP2D6 / Transporter inhibition: ABCB1,d0049
D00326,D02103,P,67,Enzyme: CYP2C9,d0049
D00326,D02106,P,68,unclassified,d0049
D00326,D02234,P,69,unclassified,d0049
D00326,D02235,P,70,unclassified,d0049
D00326,D02260,P,71,Enzyme: CYP2D6 / Target: SLC6A4 / CYP inhibition: CYP2D6,d0049
D00326,D02484,P,72,CYP inhibition: CYP3A,d0049
D00326,D02562,CI,73,unclassified,d0049
D00326,D02567,P,74,Enzyme: CYP2D6 / Target: SLC6A4 / CYP inhibition: CYP2C19 CYP2D6,d0049
D00326,D02574,P,75,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0049
D00326,D02968,P,76,CYP induction: CYP2C9,d0049
D00326,D03855,P,77,unclassified,d0049
D00326,D03960,P,78,unclassified,d0049
D00326,D04024,P,79,Transporter inhibition: ABCB1,d0049
D00326,D04052,P,80,unclassified,d0049
D00326,D04148,P,81,Enzyme: CYP2D6 / Target: SLC6A4 / CYP inhibition: CYP2C19 CYP2D6,d0049
D00326,D04340,P,82,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0049
D00326,D04641,P,83,unclassified,d0049
D00326,D04747,P,84,unclassified,d0049
D00326,D04768,"CI,P",85,CYP inhibition: CYP3A / Transporter inhibition: ABCB1,d0049
D00326,D05177,P,86,CYP inhibition: CYP2C9,d0049
D00326,D05928,P,87,CYP inhibition: CYP2C19 CYP2D6 CYP2C9,d0049
D00326,D06068,P,88,unclassified,d0049
D00326,D06199,P,89,unclassified,d0049
D00326,D06405,P,90,unclassified,d0049
D00326,D06412,P,91,Transporter inhibition: ABCB1,d0049
D00326,D06597,P,92,CYP induction: CYP2C9,d0049
D00326,D06637,P,93,CYP inhibition: CYP3A,d0049
D00326,D07082,"CI,P",94,Transporter inhibition: ABCB1,d0049
D00326,D07086,P,95,Transporter inhibition: ABCB1,d0049
D00326,D07505,P,96,unclassified,d0049
D00326,D07583,P,97,Enzyme: CYP2C9,d0049
D00326,D07869,P,98,unclassified,d0049
D00326,D08095,P,99,unclassified,d0049
D00326,D08493,P,100,Enzyme: CYP2C9 CYP2D6 / CYP inhibition: CYP2C19 CYP2D6,d0049
D00326,D08575,P,101,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0049
D00326,D08923,P,102,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0049
D00326,D08964,P,103,CYP inhibition: CYP3A,d0049
D00326,D09017,"CI,P",104,CYP inhibition: CYP3A / Transporter inhibition: ABCB1,d0049
D00326,D09319,P,105,Transporter inhibition: ABCB1,d0049
D00326,D09348,P,106,unclassified,d0049
D00326,D09365,"CI,P",107,CYP inhibition: CYP2C19,d0049
D00326,D09535,P,108,CYP inhibition: CYP2D6,d0049
D00326,D09546,P,109,Transporter inhibition: ABCB1,d0049
D00326,D09572,P,110,CYP inhibition: CYP3A / Transporter inhibition: ABCB1,d0049
D00326,D09638,"CI,P",111,unclassified,d0049
D00326,D09686,P,112,unclassified,d0049
D00326,D09701,P,113,unclassified,d0049
D00326,D09728,P,114,unclassified,d0049
D00326,D09730,P,115,CYP inhibition: CYP3A,d0049
D00326,D09731,P,116,unclassified,d0049
D00326,D09733,P,117,Transporter inhibition: ABCB1,d0049
D00326,D09815,P,118,unclassified,d0049
D00326,D09894,"CI,P",119,Enzyme: CYP2D6 / CYP inhibition: CYP2D6 / Transporter inhibition: ABCB1,d0049
D00326,D09920,P,120,CYP inhibition: CYP3A / Transporter inhibition: ABCB1,d0049
D00326,D09951,P,121,CYP inhibition: CYP3A,d0049
D00326,D09956,P,122,CYP inhibition: CYP3A,d0049
D00326,D09996,P,123,CYP inhibition: CYP2C9,d0049
D00326,D09999,P,124,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0049
D00326,D10003,P,125,CYP induction: CYP2D6,d0049
D00326,D10014,P,126,unclassified,d0049
D00326,D10024,P,127,Enzyme: CYP2C9,d0049
D00326,D10082,P,128,CYP inhibition: CYP3A,d0049
D00326,D10095,P,129,unclassified,d0049
D00326,D10104,P,130,CYP induction: CYP2C9,d0049
D00326,D10185,P,131,Enzyme: CYP2C9 CYP2D6 / Target: SLC6A4 / CYP inhibition: CYP2C19 CYP2D6,d0049
D00326,D10191,CI,132,unclassified,d0049
D00326,D10218,P,133,unclassified,d0049
D00326,D10223,P,134,CYP inhibition: CYP3A,d0049
D00326,D10298,P,135,unclassified,d0049
D00326,D10309,P,136,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0049
D00326,D10372,P,137,unclassified,d0049
D00326,D10396,P,138,Transporter inhibition: ABCB1,d0049
D00326,D10424,P,139,unclassified,d0049
D00326,D10450,P,140,unclassified,d0049
D00326,D10452,P,141,CYP inhibition: CYP3A,d0049
D00326,D10478,P,142,unclassified,d0049
D00326,D10505,P,143,Transporter inhibition: ABCB1,d0049
D00326,D10512,P,144,Enzyme: CYP2C9 CYP2D6 / CYP inhibition: CYP2D6,d0049
D00326,D10513,P,145,CYP inhibition: CYP2C19,d0049
D00326,D10516,P,146,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0049
D00326,D10527,P,147,CYP inhibition: CYP2C19,d0049
D00326,D10537,P,148,CYP inhibition: CYP2C9,d0049
D00326,D10551,P,149,CYP inhibition: CYP3A CYP2C9,d0049
D00326,D10564,P,150,CYP inhibition: CYP3A,d0049
D00326,D10569,P,151,unclassified,d0049
D00326,D10633,P,152,unclassified,d0049
D00326,D10643,P,153,CYP inhibition: CYP3A,d0049
D00326,D10663,P,154,unclassified,d0049
D00326,D10679,"CI,P",155,unclassified,d0049
D00326,D10688,P,156,CYP inhibition: CYP3A,d0049
D00326,D10733,P,157,unclassified,d0049
D00326,D10761,P,158,CYP inhibition: CYP3A,d0049
D00326,D10780,P,159,CYP inhibition: CYP3A,d0049
D00326,D10793,P,160,unclassified,d0049
D00326,D10800,P,161,Transporter inhibition: ABCB1,d0049
D00326,D10801,P,162,CYP induction: CYP2C9,d0049
D00326,D10866,P,163,unclassified,d0049
D00326,D10891,P,164,unclassified,d0049
D00326,D10892,P,165,CYP inhibition: CYP3A,d0049
D00326,D10893,P,166,CYP inhibition: CYP3A,d0049
D00326,D10926,P,167,unclassified,d0049
D00326,D10927,P,168,Enzyme: CYP2C9 / Transporter inhibition: ABCB1,d0049
D00326,D10931,P,169,Enzyme: CYP2C9,d0049
D00326,D10993,P,170,unclassified,d0049
D00326,D10999,P,171,unclassified,d0049
D00326,D11012,P,172,CYP inhibition: CYP3A,d0049
D00326,D11022,P,173,unclassified,d0049
D00326,D11027,P,174,unclassified,d0049
D00326,D11040,P,175,unclassified,d0049
D00326,D11048,P,176,unclassified,d0049
D00326,D11053,P,177,unclassified,d0049
D00326,D11070,P,178,unclassified,d0049
D00326,D11090,P,179,unclassified,d0049
D00326,D11138,P,180,CYP inhibition: CYP3A,d0049
D00326,D11159,P,181,unclassified,d0049
D00326,D11296,P,182,CYP inhibition: CYP2C19,d0049
D00326,D11370,P,183,unclassified,d0049
D00326,D11371,P,184,CYP inhibition: CYP3A,d0049
D00326,D11400,P,185,Enzyme: CYP2C9 / CYP inhibition: CYP2C19,d0049
D00326,D11404,P,186,unclassified,d0049
D00326,D11417,P,187,unclassified,d0049
D00326,D11422,P,188,CYP inhibition: CYP3A,d0049
D00326,D11454,P,189,unclassified,d0049
D00326,D11485,P,190,Transporter inhibition: ABCB1,d0049
D00326,D11525,P,191,unclassified,d0049
D00326,D11659,P,192,unclassified,d0049
D00326,D11662,P,193,unclassified,d0049
D00326,D11674,P,194,CYP inhibition: CYP2D6 / Transporter inhibition: ABCB1,d0049
D00326,D11708,P,195,unclassified,d0049
D00326,D11713,P,196,unclassified,d0049
D00326,D11725,P,197,unclassified,d0049
D00326,D11793,P,198,unclassified,d0049
D00326,D11804,P,199,unclassified,d0049
D00326,D11814,P,200,unclassified,d0049
D00326,D11835,P,201,Enzyme: CYP2C9 CYP2D6 / CYP inhibition: CYP2C19 CYP2D6 CYP3A,d0049
D00326,D11861,P,202,unclassified,d0049
D00326,D11862,P,203,unclassified,d0049
D00326,D11873,P,204,CYP inhibition: CYP3A,d0049
D00326,D11887,P,205,CYP inhibition: CYP3A,d0049
D00326,D11954,P,206,CYP inhibition: CYP2C19,d0049
D00326,D12049,P,207,CYP inhibition: CYP3A CYP2C9,d0049
D00326,D12217,P,208,unclassified,d0049
D00326,D12245,P,209,unclassified,d0049
D00326,D12265,P,210,Enzyme: CYP2C9 / CYP inhibition: CYP2C19,d0049
D00326,D12285,P,211,unclassified,d0049
D00326,D12364,P,212,Enzyme: CYP2C9 / CYP inhibition: CYP3A,d0049
D00326,D12396,P,213,unclassified,d0049
D00326,D12442,P,214,unclassified,d0049
D00326,D12586,P,215,CYP inhibition: CYP3A,d0049
D00326,D12611,P,216,unclassified,d0049
D00326,D12704,P,217,CYP inhibition: CYP3A,d0049
D00326,D12837,P,218,CYP induction: CYP2C9,d0049
D00326,D12975,P,219,CYP inhibition: CYP3A,d0049
D00326,D13026,P,220,unclassified,d0049
D00346,cpd:C00304,P,1,unclassified,d0117
D00346,cpd:C00483,P,2,unclassified,d0117
D00346,cpd:C07055,P,3,unclassified,d0117
D00346,cpd:C07506,P,4,unclassified,d0117
D00346,cpd:C07811,P,5,unclassified,d0117
D00346,cpd:C07814,P,6,unclassified,d0117
D00346,cpd:C07818,P,7,unclassified,d0117
D00346,cpd:C07849,P,8,unclassified,d0117
D00346,cpd:C07861,P,9,unclassified,d0117
D00346,cpd:C12768,P,10,unclassified,d0117
D00346,D00032,P,11,unclassified,d0117
D00346,D00058,P,12,unclassified,d0117
D00346,D00059,P,13,unclassified,d0117
D00346,D00076,P,14,unclassified,d0117
D00346,D00085,P,15,unclassified,d0117
D00346,D00095,P,16,unclassified,d0117
D00346,D00113,P,17,unclassified,d0117
D00346,D00124,P,18,unclassified,d0117
D00346,D00131,P,19,unclassified,d0117
D00346,D00135,P,20,unclassified,d0117
D00346,D00138,P,21,unclassified,d0117
D00346,D00144,P,22,unclassified,d0117
D00346,D00147,P,23,unclassified,d0117
D00346,D00162,P,24,unclassified,d0117
D00346,D00184,P,25,unclassified,d0117
D00346,D00197,P,26,unclassified,d0117
D00346,D00198,P,27,unclassified,d0117
D00346,D00211,P,28,unclassified,d0117
D00346,D00216,P,29,unclassified,d0117
D00346,D00217,P,30,unclassified,d0117
D00346,D00219,P,31,unclassified,d0117
D00346,D00225,P,32,unclassified,d0117
D00346,D00228,"CI,P",33,unclassified,d0117
D00346,D00232,P,34,unclassified,d0117
D00346,D00252,P,35,unclassified,d0117
D00346,D00253,P,36,unclassified,d0117
D00346,D00265,P,37,unclassified,d0117
D00346,D00267,P,38,unclassified,d0117
D00346,D00270,P,39,unclassified,d0117
D00346,D00271,P,40,unclassified,d0117
D00346,D00280,P,41,unclassified,d0117
D00346,D00281,P,42,unclassified,d0117
D00346,D00283,P,43,unclassified,d0117
D00346,D00293,P,44,unclassified,d0117
D00346,D00294,P,45,unclassified,d0117
D00346,D00304,P,46,unclassified,d0117
D00346,D00308,P,47,unclassified,d0117
D00346,D00311,P,48,unclassified,d0117
D00346,D00320,P,49,unclassified,d0117
D00346,D00335,P,50,unclassified,d0117
D00346,D00336,P,51,unclassified,d0117
D00346,D00346,P,52,unclassified,d0117
D00346,D00350,P,53,unclassified,d0117
D00346,D00354,P,54,unclassified,d0117
D00346,D00365,P,55,unclassified,d0117
D00346,D00367,CI,56,unclassified,d0117
D00346,D00375,P,57,unclassified,d0117
D00346,D00379,P,58,unclassified,d0117
D00346,D00380,P,59,unclassified,d0117
D00346,D00387,P,60,unclassified,d0117
D00346,D00388,P,61,unclassified,d0117
D00346,D00392,P,62,unclassified,d0117
D00346,D00394,P,63,unclassified,d0117
D00346,D00395,P,64,unclassified,d0117
D00346,D00397,P,65,unclassified,d0117
D00346,D00399,P,66,unclassified,d0117
D00346,D00402,P,67,unclassified,d0117
D00346,D00404,P,68,unclassified,d0117
D00346,D00405,P,69,unclassified,d0117
D00346,D00415,CI,70,unclassified,d0117
D00346,D00418,P,71,unclassified,d0117
D00346,D00424,P,72,unclassified,d0117
D00346,D00451,CI,73,unclassified,d0117
D00346,D00457,P,74,unclassified,d0117
D00346,D00465,P,75,unclassified,d0117
D00346,D00474,P,76,unclassified,d0117
D00346,D00481,P,77,unclassified,d0117
D00346,D00484,P,78,unclassified,d0117
D00346,D00485,P,79,unclassified,d0117
D00346,D00495,P,80,unclassified,d0117
D00346,D00504,P,81,unclassified,d0117
D00346,D00506,P,82,unclassified,d0117
D00346,D00508,P,83,unclassified,d0117
D00346,D00511,P,84,unclassified,d0117
D00346,D00512,P,85,unclassified,d0117
D00346,D00514,P,86,unclassified,d0117
D00346,D00520,CI,87,unclassified,d0117
D00346,D00531,P,88,unclassified,d0117
D00346,D00533,P,89,unclassified,d0117
D00346,D00535,P,90,unclassified,d0117
D00346,D00536,P,91,unclassified,d0117
D00346,D00537,P,92,unclassified,d0117
D00346,D00538,P,93,unclassified,d0117
D00346,D00539,P,94,unclassified,d0117
D00346,D00540,P,95,unclassified,d0117
D00346,D00550,P,96,unclassified,d0117
D00346,D00563,CI,97,unclassified,d0117
D00346,D00564,P,98,unclassified,d0117
D00346,D00588,P,99,unclassified,d0117
D00346,D00591,P,100,unclassified,d0117
D00346,D00593,P,101,unclassified,d0117
D00346,D00594,P,102,unclassified,d0117
D00346,D00595,P,103,unclassified,d0117
D00346,D00596,P,104,unclassified,d0117
D00346,D00604,P,105,unclassified,d0117
D00346,D00606,P,106,unclassified,d0117
D00346,D00607,P,107,unclassified,d0117
D00346,D00608,P,108,unclassified,d0117
D00346,D00609,P,109,unclassified,d0117
D00346,D00611,P,110,unclassified,d0117
D00346,D00612,P,111,unclassified,d0117
D00346,D00614,P,112,unclassified,d0117
D00346,D00625,P,113,unclassified,d0117
D00346,D00632,P,114,unclassified,d0117
D00346,D00633,P,115,unclassified,d0117
D00346,D00636,P,116,unclassified,d0117
D00346,D00646,P,117,unclassified,d0117
D00346,D00665,P,118,unclassified,d0117
D00346,D00666,P,119,unclassified,d0117
D00346,D00668,P,120,unclassified,d0117
D00346,D00669,P,121,unclassified,d0117
D00346,D00672,P,122,unclassified,d0117
D00346,D00675,CI,123,unclassified,d0117
D00346,D00676,CI,124,unclassified,d0117
D00346,D00677,P,125,unclassified,d0117
D00346,D00678,P,126,unclassified,d0117
D00346,D00683,P,127,unclassified,d0117
D00346,D00684,P,128,unclassified,d0117
D00346,D00685,P,129,unclassified,d0117
D00346,D00686,P,130,unclassified,d0117
D00346,D00687,P,131,unclassified,d0117
D00346,D00688,P,132,unclassified,d0117
D00346,D00694,P,133,unclassified,d0117
D00346,D00700,P,134,unclassified,d0117
D00346,D00701,P,135,unclassified,d0117
D00346,D00708,P,136,unclassified,d0117
D00346,D00709,P,137,unclassified,d0117
D00346,D00710,P,138,unclassified,d0117
D00346,D00713,P,139,unclassified,d0117
D00346,D00714,P,140,unclassified,d0117
D00346,D00715,P,141,unclassified,d0117
D00346,D00716,P,142,unclassified,d0117
D00346,D00717,P,143,unclassified,d0117
D00346,D00719,P,144,unclassified,d0117
D00346,D00720,P,145,unclassified,d0117
D00346,D00721,P,146,unclassified,d0117
D00346,D00722,P,147,unclassified,d0117
D00346,D00723,P,148,unclassified,d0117
D00346,D00743,P,149,unclassified,d0117
D00346,D00744,P,150,unclassified,d0117
D00346,D00756,P,151,unclassified,d0117
D00346,D00762,P,152,unclassified,d0117
D00346,D00765,P,153,unclassified,d0117
D00346,D00770,P,154,unclassified,d0117
D00346,D00774,P,155,unclassified,d0117
D00346,D00776,P,156,unclassified,d0117
D00346,D00778,P,157,unclassified,d0117
D00346,D00779,P,158,unclassified,d0117
D00346,D00782,P,159,unclassified,d0117
D00346,D00785,CI,160,unclassified,d0117
D00346,D00787,P,161,unclassified,d0117
D00346,D00789,P,162,unclassified,d0117
D00346,D00809,"CI,P",163,unclassified,d0117
D00346,D00811,"CI,P",164,unclassified,d0117
D00346,D00812,P,165,unclassified,d0117
D00346,D00814,P,166,unclassified,d0117
D00346,D00815,"CI,P",167,unclassified,d0117
D00346,D00816,"CI,P",168,unclassified,d0117
D00346,D00818,CI,169,unclassified,d0117
D00346,D00820,P,170,unclassified,d0117
D00346,D00821,CI,171,unclassified,d0117
D00346,D00824,CI,172,unclassified,d0117
D00346,D00825,CI,173,unclassified,d0117
D00346,D00836,P,174,unclassified,d0117
D00346,D00839,P,175,unclassified,d0117
D00346,D00842,P,176,unclassified,d0117
D00346,D00866,P,177,unclassified,d0117
D00346,D00875,P,178,unclassified,d0117
D00346,D00877,P,179,unclassified,d0117
D00346,D00878,P,180,unclassified,d0117
D00346,D00879,P,181,unclassified,d0117
D00346,D00944,P,182,unclassified,d0117
D00346,D00945,P,183,unclassified,d0117
D00346,D00947,P,184,unclassified,d0117
D00346,D00996,P,185,unclassified,d0117
D00346,D01002,P,186,unclassified,d0117
D00346,D01003,P,187,unclassified,d0117
D00346,D01004,P,188,unclassified,d0117
D00346,D01005,P,189,unclassified,d0117
D00346,D01006,P,190,unclassified,d0117
D00346,D01007,P,191,unclassified,d0117
D00346,D01008,"CI,P",192,unclassified,d0117
D00346,D01017,P,193,unclassified,d0117
D00346,D01019,P,194,unclassified,d0117
D00346,D01020,P,195,unclassified,d0117
D00346,D01021,"CI,P",196,unclassified,d0117
D00346,D01022,P,197,unclassified,d0117
D00346,D01023,P,198,unclassified,d0117
D00346,D01056,P,199,unclassified,d0117
D00346,D01077,P,200,unclassified,d0117
D00346,D01096,P,201,unclassified,d0117
D00346,D01103,P,202,unclassified,d0117
D00346,D01107,CI,203,unclassified,d0117
D00346,D01110,P,204,unclassified,d0117
D00346,D01111,P,205,unclassified,d0117
D00346,D01118,P,206,unclassified,d0117
D00346,D01148,P,207,unclassified,d0117
D00346,D01165,P,208,unclassified,d0117
D00346,D01179,CI,209,unclassified,d0117
D00346,D01190,P,210,unclassified,d0117
D00346,D01195,P,211,unclassified,d0117
D00346,D01201,P,212,unclassified,d0117
D00346,D01205,P,213,unclassified,d0117
D00346,D01224,P,214,unclassified,d0117
D00346,D01226,P,215,unclassified,d0117
D00346,D01227,P,216,unclassified,d0117
D00346,D01230,P,217,unclassified,d0117
D00346,D01231,P,218,unclassified,d0117
D00346,D01245,P,219,unclassified,d0117
D00346,D01253,P,220,unclassified,d0117
D00346,D01263,P,221,unclassified,d0117
D00346,D01268,P,222,unclassified,d0117
D00346,D01269,P,223,unclassified,d0117
D00346,D01277,P,224,unclassified,d0117
D00346,D01278,P,225,unclassified,d0117
D00346,D01280,P,226,unclassified,d0117
D00346,D01285,P,227,unclassified,d0117
D00346,D01292,P,228,unclassified,d0117
D00346,D01293,P,229,unclassified,d0117
D00346,D01296,CI,230,unclassified,d0117
D00346,D01297,P,231,unclassified,d0117
D00346,D01302,P,232,unclassified,d0117
D00346,D01307,P,233,unclassified,d0117
D00346,D01314,P,234,unclassified,d0117
D00346,D01315,P,235,unclassified,d0117
D00346,D01324,P,236,unclassified,d0117
D00346,D01328,P,237,unclassified,d0117
D00346,D01333,P,238,unclassified,d0117
D00346,D01347,CI,239,unclassified,d0117
D00346,D01349,P,240,unclassified,d0117
D00346,D01350,P,241,unclassified,d0117
D00346,D01355,CI,242,unclassified,d0117
D00346,D01356,P,243,unclassified,d0117
D00346,D01358,CI,244,unclassified,d0117
D00346,D01359,P,245,unclassified,d0117
D00346,D01360,P,246,unclassified,d0117
D00346,D01362,P,247,unclassified,d0117
D00346,D01373,P,248,unclassified,d0117
D00346,D01377,P,249,unclassified,d0117
D00346,D01382,P,250,unclassified,d0117
D00346,D01383,"CI,P",251,unclassified,d0117
D00346,D01386,P,252,unclassified,d0117
D00346,D01389,P,253,unclassified,d0117
D00346,D01390,P,254,unclassified,d0117
D00346,D01399,P,255,unclassified,d0117
D00346,D01405,P,256,unclassified,d0117
D00346,D01408,P,257,unclassified,d0117
D00346,D01428,P,258,unclassified,d0117
D00346,D01451,P,259,unclassified,d0117
D00346,D01453,P,260,unclassified,d0117
D00346,D01463,P,261,unclassified,d0117
D00346,D01477,P,262,unclassified,d0117
D00346,D01481,P,263,unclassified,d0117
D00346,D01491,P,264,unclassified,d0117
D00346,D01501,P,265,unclassified,d0117
D00346,D01514,P,266,unclassified,d0117
D00346,D01521,P,267,unclassified,d0117
D00346,D01538,P,268,unclassified,d0117
D00346,D01546,P,269,unclassified,d0117
D00346,D01564,P,270,unclassified,d0117
D00346,D01589,P,271,unclassified,d0117
D00346,D01599,P,272,unclassified,d0117
D00346,D01600,P,273,unclassified,d0117
D00346,D01603,P,274,unclassified,d0117
D00346,D01635,P,275,unclassified,d0117
D00346,D01643,P,276,unclassified,d0117
D00346,D01648,P,277,unclassified,d0117
D00346,D01657,P,278,unclassified,d0117
D00346,D01665,P,279,unclassified,d0117
D00346,D01699,P,280,unclassified,d0117
D00346,D01744,P,281,unclassified,d0117
D00346,D01748,P,282,unclassified,d0117
D00346,D01787,P,283,unclassified,d0117
D00346,D01804,P,284,unclassified,d0117
D00346,D01815,P,285,unclassified,d0117
D00346,D01832,P,286,unclassified,d0117
D00346,D01835,P,287,unclassified,d0117
D00346,D01854,P,288,unclassified,d0117
D00346,D01871,P,289,unclassified,d0117
D00346,D01872,P,290,unclassified,d0117
D00346,D01875,P,291,unclassified,d0117
D00346,D01898,P,292,unclassified,d0117
D00346,D01903,P,293,unclassified,d0117
D00346,D01929,P,294,unclassified,d0117
D00346,D01946,P,295,unclassified,d0117
D00346,D01952,P,296,unclassified,d0117
D00346,D01973,P,297,unclassified,d0117
D00346,D01976,P,298,unclassified,d0117
D00346,D01978,P,299,unclassified,d0117
D00346,D02002,P,300,unclassified,d0117
D00346,D02016,P,301,unclassified,d0117
D00346,D02034,CI,302,unclassified,d0117
D00346,D02064,P,303,unclassified,d0117
D00346,D02066,P,304,unclassified,d0117
D00346,D02069,P,305,unclassified,d0117
D00346,D02070,P,306,unclassified,d0117
D00346,D02071,P,307,unclassified,d0117
D00346,D02076,P,308,unclassified,d0117
D00346,D02093,P,309,unclassified,d0117
D00346,D02096,P,310,unclassified,d0117
D00346,D02097,P,311,unclassified,d0117
D00346,D02101,P,312,unclassified,d0117
D00346,D02102,P,313,unclassified,d0117
D00346,D02103,P,314,unclassified,d0117
D00346,D02109,P,315,unclassified,d0117
D00346,D02135,P,316,unclassified,d0117
D00346,D02147,P,317,unclassified,d0117
D00346,D02149,P,318,unclassified,d0117
D00346,D02150,P,319,unclassified,d0117
D00346,D02151,P,320,unclassified,d0117
D00346,D02206,P,321,unclassified,d0117
D00346,D02212,P,322,unclassified,d0117
D00346,D02234,P,323,unclassified,d0117
D00346,D02237,P,324,unclassified,d0117
D00346,D02242,CI,325,unclassified,d0117
D00346,D02246,P,326,unclassified,d0117
D00346,D02247,P,327,unclassified,d0117
D00346,D02260,CI,328,unclassified,d0117
D00346,D02271,P,329,unclassified,d0117
D00346,D02281,P,330,unclassified,d0117
D00346,D02323,P,331,unclassified,d0117
D00346,D02349,P,332,unclassified,d0117
D00346,D02359,P,333,unclassified,d0117
D00346,D02363,P,334,unclassified,d0117
