id1,id2,classes,source_line
D02360,D05375,P,334
D02362,D02567,P,340
D02362,D05374,P,342
D02362,D05375,P,343
D02559,D02562,CI,349
D02559,D03731,CI,351
D02559,D10191,CI,354
D02560,D02562,CI,359
D02560,D03731,CI,361
D02560,D10191,CI,364
D02561,D02562,CI,369
D02561,D03731,CI,371
D02561,D10191,CI,374
D02562,D02563,CI,394
D02562,D02564,CI,395
D02562,D02579,CI,397
D02562,D02580,CI,398
D02562,D02581,CI,399
D02562,D03239,CI,401
D02562,D03248,CI,402
D02562,D03409,CI,403
D02562,D03731,CI,405
D02562,D03733,CI,406
D02562,D04092,CI,407
D02562,D04681,CI,409
D02562,D05033,CI,410
D02562,D05039,CI,411
D02562,D05040,CI,412
D02562,D07337,CI,417
D02562,D07338,CI,418
D02562,D08085,CI,423
D02562,D08349,CI,424
D02562,D08392,CI,425
D02562,D08393,CI,426
D02562,D08453,CI,427
D02562,D08469,CI,428
D02562,D08625,CI,429
D02562,D09773,CI,430
D02562,D10158,CI,431
D02562,D10191,CI,432
D02562,D10829,CI,433
D02563,D03731,CI,440
D02563,D10191,CI,443
D02564,D03731,CI,451
D02564,D10191,CI,454
D02567,D02787,P,480
D02567,D03649,P,484
D02567,D04105,P,488
D02567,D05374,P,493
D02567,D05375,P,494
D02567,D05491,P,495
D02567,D06367,P,496
D02567,D07704,P,499
D02567,D07705,P,500
D02567,D07913,P,501
D02567,D07984,P,502
D02579,D03731,CI,520
D02579,D10191,CI,523
D02580,D03731,CI,530
D02580,D10191,CI,533
D02581,D03731,CI,540
D02581,D10191,CI,543
D02787,D05374,P,550
D02787,D05375,P,551
D03239,D03731,CI,559
D03239,D10191,CI,562
D03248,D03731,CI,569
D03248,D10191,CI,572
D03409,D03731,CI,579
D03409,D10191,CI,582
D03649,D05374,P,589
D03649,D05375,P,590
D03731,D03733,CI,623
D03731,D04092,CI,624
D03731,D04681,CI,626
D03731,D05033,CI,627
D03731,D05039,CI,628
D03731,D05040,CI,629
D03731,D07337,CI,634
D03731,D07338,CI,635
D03731,D08085,CI,640
D03731,D08349,CI,641
D03731,D08392,CI,642
D03731,D08393,CI,643
D03731,D08453,CI,644
D03731,D08469,CI,645
D03731,D08625,CI,646
D03731,D09773,CI,647
D03731,D10158,CI,648
D03731,D10191,CI,649
D03731,D10829,CI,650
D03733,D10191,CI,660
D04092,D10191,CI,670
D04105,D05374,P,677
D04105,D05375,P,678
D04681,D10191,CI,689
D05033,D10191,CI,699
D05039,D10191,CI,709
D05040,D10191,CI,719
D05374,D05375,P,759
D05374,D05491,P,760
D05374,D06367,P,761
D05374,D07704,P,764
D05374,D07705,P,765
D05374,D07913,P,766
D05374,D07984,P,767
D05375,D05491,P,819
D05375,D06367,P,820
D05375,D07704,P,823
D05375,D07705,P,824
D05375,D07913,P,825
D05375,D07984,P,826
D07337,D10191,CI,865
D07338,D10191,CI,875
D08085,D10191,CI,921
D08349,D10191,CI,931
D08392,D10191,CI,941
D08393,D10191,CI,951
D08453,D10191,CI,962
D08469,D10191,CI,972
D08625,D10191,CI,982
D09773,D10191,CI,993
D10158,D10191,CI,1003
D10191,D10829,CI,1062
